[12:46:28.700] ReinstallHook: OK
[12:46:33.711] ReinstallHook: OK
[12:46:38.700] ReinstallHook: OK
[12:46:43.706] ReinstallHook: OK
[12:46:48.704] ReinstallHook: OK
[12:46:53.702] ReinstallHook: OK
[12:46:55.309] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:46:55.432] KEY vk=0x9 (9), modKey=0, capturing=0
[12:46:58.698] ReinstallHook: OK
[12:47:00.687] KEY vk=0xA0 (160), modKey=0, capturing=0
[12:47:00.709] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:47:00.957] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:47:01.107] KEY vk=0xA0 (160), modKey=0, capturing=0
[12:47:01.201] KEY vk=0x49 (73), modKey=0, capturing=0
[12:47:01.325] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:01.567] KEY vk=0x57 (87), modKey=0, capturing=0
[12:47:01.666] KEY vk=0x41 (65), modKey=0, capturing=0
[12:47:01.804] KEY vk=0x4E (78), modKey=0, capturing=0
[12:47:01.939] KEY vk=0x54 (84), modKey=0, capturing=0
[12:47:02.031] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:02.158] KEY vk=0x54 (84), modKey=0, capturing=0
[12:47:02.244] KEY vk=0x4F (79), modKey=0, capturing=0
[12:47:02.397] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:02.554] KEY vk=0x4C (76), modKey=0, capturing=0
[12:47:02.763] KEY vk=0x4F (79), modKey=0, capturing=0
[12:47:02.920] KEY vk=0x4F (79), modKey=0, capturing=0
[12:47:03.122] KEY vk=0x4B (75), modKey=0, capturing=0
[12:47:03.434] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:03.703] ReinstallHook: OK
[12:47:03.729] KEY vk=0x55 (85), modKey=0, capturing=0
[12:47:03.897] KEY vk=0x50 (80), modKey=0, capturing=0
[12:47:04.007] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:04.240] KEY vk=0x4D (77), modKey=0, capturing=0
[12:47:04.480] KEY vk=0x4F (79), modKey=0, capturing=0
[12:47:04.732] KEY vk=0x4F (79), modKey=0, capturing=0
[12:47:05.384] KEY vk=0x8 (8), modKey=0, capturing=0
[12:47:05.497] KEY vk=0x52 (82), modKey=0, capturing=0
[12:47:05.644] KEY vk=0x45 (69), modKey=0, capturing=0
[12:47:05.721] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:06.098] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:47:06.141] KEY vk=0x9 (9), modKey=0, capturing=0
[12:47:06.778] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:08.697] ReinstallHook: OK
[12:47:08.739] KEY vk=0xA4 (164), modKey=0, capturing=0
[12:47:08.810] KEY vk=0x9 (9), modKey=0, capturing=0
[12:47:10.112] KEY vk=0x49 (73), modKey=0, capturing=0
[12:47:10.377] KEY vk=0x4E (78), modKey=0, capturing=0
[12:47:10.538] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:10.725] KEY vk=0x46 (70), modKey=0, capturing=0
[12:47:10.807] KEY vk=0x49 (73), modKey=0, capturing=0
[12:47:10.990] KEY vk=0x58 (88), modKey=0, capturing=0
[12:47:11.045] KEY vk=0x49 (73), modKey=0, capturing=0
[12:47:11.279] KEY vk=0x4E (78), modKey=0, capturing=0
[12:47:11.388] KEY vk=0x47 (71), modKey=0, capturing=0
[12:47:11.673] KEY vk=0x20 (32), modKey=0, capturing=0
[12:47:11.923] KEY vk=0x54 (84), modKey=0, capturing=0
[12:47:12.140] KEY vk=0x48 (72), modKey=0, capturing=0
[12:47:12.253] KEY vk=0x49 (73), modKey=0, capturing=0
[12:47:12.450] KEY vk=0x53 (83), modKey=0, capturing=0
[12:47:12.554] KEY vk=0x20 (32), modKey=0, capturing=0
